"Tarih","Saat","PTF (TL/MWh)","PTF (USD/MWh)","PTF (EUR/MWh)"
"05/11/2021","00:00","699,99","72,49","62,56"
"05/11/2021","01:00","957,95","99,20","85,61"
"05/11/2021","02:00","699,99","72,49","62,56"
"05/11/2021","03:00","656,11","67,94","58,64"
"05/11/2021","04:00","649,99","67,31","58,09"
"05/11/2021","05:00","649,99","67,31","58,09"
"05/11/2021","06:00","799,99","82,84","71,50"
"05/11/2021","07:00","900,99","93,30","80,52"
"05/11/2021","08:00","1.131,00","117,12","101,08"
"05/11/2021","09:00","989,99","102,52","88,48"
"05/11/2021","10:00","875,00","90,61","78,20"
"05/11/2021","11:00","899,99","93,20","80,43"
"05/11/2021","12:00","649,98","67,31","58,09"
"05/11/2021","13:00","649,99","67,31","58,09"
"05/11/2021","14:00","850,00","88,02","75,97"
"05/11/2021","15:00","1.131,00","117,12","101,08"
"05/11/2021","16:00","1.131,00","117,12","101,08"
"05/11/2021","17:00","1.131,00","117,12","101,08"
"05/11/2021","18:00","1.131,00","117,12","101,08"
"05/11/2021","19:00","1.131,00","117,12","101,08"
"05/11/2021","20:00","1.131,00","117,12","101,08"
"05/11/2021","21:00","1.131,00","117,12","101,08"
"05/11/2021","22:00","1.099,99","113,91","98,31"
"05/11/2021","23:00","789,99","81,80","70,60"
"06/11/2021","00:00","699,99","72,25","62,50"
"06/11/2021","01:00","947,01","97,75","84,56"
"06/11/2021","02:00","699,99","72,25","62,50"
"06/11/2021","03:00","699,99","72,25","62,50"
"06/11/2021","04:00","699,98","72,25","62,50"
"06/11/2021","05:00","719,01","74,21","64,20"
"06/11/2021","06:00","700,00","72,25","62,51"
"06/11/2021","07:00","815,00","84,12","72,77"
"06/11/2021","08:00","1.099,99","113,54","98,22"
"06/11/2021","09:00","673,02","69,47","60,10"
"06/11/2021","10:00","673,03","69,47","60,10"
"06/11/2021","11:00","798,32","82,40","71,28"
"06/11/2021","12:00","649,99","67,09","58,04"
"06/11/2021","13:00","673,02","69,47","60,10"
"06/11/2021","14:00","656,12","67,72","58,59"
"06/11/2021","15:00","673,03","69,47","60,10"
"06/11/2021","16:00","798,33","82,40","71,29"
"06/11/2021","17:00","1.131,00","116,74","100,99"
"06/11/2021","18:00","1.131,00","116,74","100,99"
"06/11/2021","19:00","990,00","102,18","88,40"
"06/11/2021","20:00","699,98","72,25","62,50"
"06/11/2021","21:00","747,95","77,20","66,79"
"06/11/2021","22:00","699,99","72,25","62,50"
